structure_name,species,source_atlas,category,expected_homba_id,expected_homba_name,coverage_status,notes
Dysgranular insular cortex,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10289,dysgranular insular cortex (area Idg),mapped,auto: RCS top-1 score=1.000
Endopiriform nucleus,Rat,Leergaard2023_WHS | WaxholmSpace_v4,gray_matter,HOMBA:10371,endopiriform nucleus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Entopeduncular nucleus,Rat,Leergaard2023_WHS | WaxholmSpace_v4,gray_matter,HOMBA:146034758,entopeduncular nucleus,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Entorhinal area (medial part),Rat,Swanson2018_BrainMaps4,gray_matter,HOMBA:10319,medial (caudal) entorhinal cortex,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Ethmoid-Limitans nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30314,ethmoid thalamic nucleus,approximate,auto: RCS top-1 score=0.632
External globus pallidus (lateral part),Rat,Leergaard2023_WHS,gray_matter,HOMBA:10343,external division of globus pallidus,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.860
External globus pallidus (medial part),Rat,Leergaard2023_WHS,gray_matter,HOMBA:10343,external division of globus pallidus,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.860
"External medullary lamina, auditory radiation",Rat,WaxholmSpace_v4,gray_matter,HOMBA:12038,external medullary lamina of thalamus,approximate,auto: RCS top-1 score=0.758
"External medullary lamina, unspecified",Rat,WaxholmSpace_v4,gray_matter,HOMBA:12038,external medullary lamina of thalamus,approximate,auto: RCS top-1 score=0.813
"Facial nerve, unspecified",Rat,WaxholmSpace_v4,white_matter,HOMBA:12862,root of facial nerve,unmapped,auto: RCS top-1 score=0.592
Fasciculus retroflexus,Rat,WaxholmSpace_v4,white_matter,HOMBA:12342,fasciculus retroflexus (habenuno-interpeduncular tract),mapped,auto: RCS top-1 score=1.000
Fasciola cinereum,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30112,fasciola cinereum (ectosplenial area 26),mapped,auto: RCS top-1 score=1.000
Fields of Forel,Rat,Leergaard2023_WHS | WaxholmSpace_v4,gray_matter,HOMBA:10462,nucleus of the field of Forel,unmapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.446
Fimbria of the hippocampus,Rat,WaxholmSpace_v4,white_matter,HOMBA:10575,fimbria,mapped,auto: RCS top-1 score=0.928
Fornix,Rat,WaxholmSpace_v4,white_matter,HOMBA:10576,fornix,mapped,auto: RCS top-1 score=1.000
Frontal association area 3,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12113,frontal lobe,unmapped,auto: RCS top-1 score=0.304
Frontal association cortex,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10161,frontal cortex,approximate,auto: RCS top-1 score=0.663
Genu of the facial nerve,Rat,WaxholmSpace_v4,white_matter,HOMBA:12738,genu of the facial nerve,mapped,auto: RCS top-1 score=1.000
"Globus pallidus external, lateral part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10343,external division of globus pallidus,mapped,auto: RCS top-1 score=0.901
"Globus pallidus external, medial part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10343,external division of globus pallidus,mapped,auto: RCS top-1 score=0.914
Glomerular layer of the accessory olfactory bulb,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30176,glomerular layer of accessory olfactory bulb,mapped,auto: RCS top-1 score=1.000
Glomerular layer of the olfactory bulb,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30170,glomerular layer of olfactory bulb,mapped,auto: RCS top-1 score=1.000
Granular insular cortex,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10290,granular insular cortex (area Ig),mapped,auto: RCS top-1 score=1.000
Habenula (lateral part),Rat,Leergaard2023_WHS,gray_matter,HOMBA:10452,habenular nuclei,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.880
Habenula (medial part),Rat,Leergaard2023_WHS,gray_matter,HOMBA:10452,habenular nuclei,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.880
Habenular commissure,Rat,WaxholmSpace_v4,white_matter,HOMBA:10566,habenular commissure,mapped,auto: RCS top-1 score=1.000
"Hypothalamic region, unspecified",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10557,forebrain white matter (unspecified region),unmapped,auto: RCS top-1 score=0.582
Inferior cerebellar peduncle,Rat,WaxholmSpace_v4,white_matter,HOMBA:12741,inferior cerebellar peduncle,mapped,auto: RCS top-1 score=1.000
"Inferior colliculus, brachium",Rat,WaxholmSpace_v4,gray_matter,HOMBA:12327,brachium of inferior colliculus,approximate,auto: RCS top-1 score=0.874
"Inferior colliculus, central nucleus",Rat,WaxholmSpace_v4,gray_matter,HOMBA:12305,inferior colliculus,mapped,auto: RCS top-1 score=0.934
"Inferior colliculus, commissure",Rat,WaxholmSpace_v4,white_matter,HOMBA:12333,commissure of inferior colliculus,approximate,auto: RCS top-1 score=0.865
"Inferior colliculus, dorsal cortex",Rat,WaxholmSpace_v4,gray_matter,HOMBA:12307,dorsal central nucleus of inferior colliculus,mapped,auto: RCS top-1 score=0.973
"Inferior colliculus, external cortex",Rat,WaxholmSpace_v4,gray_matter,HOMBA:12308,external shell (cortex) of inferior colliculus,mapped,auto: RCS top-1 score=0.966
Inferior olive,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12600,inferior olive,mapped,auto: RCS top-1 score=1.000
Infralimbic area,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30037,rostrodorsal division of A25 (infralimbic cortex),unmapped,auto: RCS top-1 score=0.561
Infundibulum,Rat,Swanson2018_BrainMaps4,gray_matter,HOMBA:10643,infundibular stalk,unmapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.396
Interanteromedial thalamic nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,approximate,auto: RCS top-1 score=0.748
Intergeniculate leaflet,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30305,intergeniculate leaf,approximate,auto: RCS top-1 score=0.773
Intermediodorsal thalamic nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,approximate,auto: RCS top-1 score=0.703
Internal medullary lamina,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12062,internal medullary lamina of globus pallidus,approximate,auto: RCS top-1 score=0.877
Interpeduncular nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12270,interpeduncular nucleus,mapped,auto: RCS top-1 score=1.000
Intramedullary thalamic area,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10593,thalamic fasciculus (field H1),unmapped,auto: RCS top-1 score=0.259
Lateral entorhinal cortex,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10318,lateral (rostral) entorhinal cortex,mapped,auto: RCS top-1 score=1.000
Lateral habenular nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10453,lateral habenular nucleus,mapped,auto: RCS top-1 score=1.000
"Lateral lemniscus, commissure",Rat,WaxholmSpace_v4,white_matter,HOMBA:12760,lateral lemniscus,mapped,auto: RCS top-1 score=0.930
"Lateral lemniscus, dorsal nucleus",Rat,WaxholmSpace_v4,white_matter,HOMBA:12455,dorsal nucleus of lateral lemniscus,mapped,auto: RCS top-1 score=0.964
"Lateral lemniscus, intermediate nucleus",Rat,WaxholmSpace_v4,white_matter,HOMBA:12456,intermediate nucleus of lateral lemniscus,mapped,auto: RCS top-1 score=0.963
"Lateral lemniscus, unspecified",Rat,WaxholmSpace_v4,white_matter,HOMBA:12760,lateral lemniscus,mapped,auto: RCS top-1 score=0.914
"Lateral lemniscus, ventral nucleus",Rat,WaxholmSpace_v4,white_matter,HOMBA:12457,ventral nucleus of lateral lemniscus,mapped,auto: RCS top-1 score=0.960
Lateral olfactory tract,Rat,WaxholmSpace_v4,white_matter,HOMBA:10309,nucleus of lateral olfactory tract,mapped,auto: RCS top-1 score=0.998
Lateral orbital area,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12125,lateral orbital gyrus,approximate,auto: RCS top-1 score=0.854
"Lateral posterior thalamic nucleus, lateral part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10408,lateral posterior nucleus of thalamus,approximate,auto: RCS top-1 score=0.797
"Lateral posterior thalamic nucleus, mediocaudal part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:12053,posterior thalamic radiation,unmapped,auto: RCS top-1 score=0.597
"Lateral posterior thalamic nucleus, mediorostral part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:12053,posterior thalamic radiation,approximate,auto: RCS top-1 score=0.601
Lateral septal nucleus (rostral division),Rat,Swanson2018_BrainMaps4,gray_matter,HOMBA:10352,lateral septal nuclear complex,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Lateral superior olive,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12469,lateral superior olivary nucleus,approximate,auto: RCS top-1 score=0.759
"Laterodorsal thalamic nucleus, dorsomedial part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,approximate,auto: RCS top-1 score=0.622
"Laterodorsal thalamic nucleus, ventrolateral part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:12519,laterodorsal tegmental nucleus,approximate,auto: RCS top-1 score=0.600
Mammillotegmental tract,Rat,WaxholmSpace_v4,white_matter,HOMBA:12065,mammillotegmental tract,mapped,auto: RCS top-1 score=1.000
Medial entorhinal cortex,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10319,medial (caudal) entorhinal cortex,mapped,auto: RCS top-1 score=1.000
"Medial geniculate body, dorsal division",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10435,dorsal (rostral) division of medial geniculate nucleus,approximate,auto: RCS top-1 score=0.774
"Medial geniculate body, marginal zone",Rat,WaxholmSpace_v4,gray_matter,HOMBA:266441523,marginal zone of medial geniculate nucleus,approximate,auto: RCS top-1 score=0.818
"Medial geniculate body, medial division",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10439,medial division of medial geniculate nucleus,approximate,auto: RCS top-1 score=0.752
"Medial geniculate body, suprageniculate nucleus",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10434,medial geniculate nucleus,approximate,auto: RCS top-1 score=0.819
"Medial geniculate body, ventral division",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10438,ventral (caudal) division of medial geniculate nucleus,approximate,auto: RCS top-1 score=0.775
Medial geniculate complex (dorsal division),Rat,Leergaard2023_WHS,gray_matter,HOMBA:AA30307,medial geniculate nuclear complex,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.826
Medial geniculate complex (marginal zone),Rat,Leergaard2023_WHS,gray_matter,HOMBA:266441523,marginal zone of medial geniculate nucleus,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.818
Medial geniculate complex (medial division),Rat,Leergaard2023_WHS,gray_matter,HOMBA:AA30307,medial geniculate nuclear complex,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.923
Medial geniculate complex (ventral division),Rat,Leergaard2023_WHS,gray_matter,HOMBA:AA30307,medial geniculate nuclear complex,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.826
Medial habenular nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10456,medial habenular nucleus,mapped,auto: RCS top-1 score=1.000
Medial lemniscus decussation,Rat,WaxholmSpace_v4,white_matter,HOMBA:12732,decussation of medial lemniscus,mapped,auto: RCS top-1 score=0.965
"Medial lemniscus, unspecified",Rat,WaxholmSpace_v4,white_matter,HOMBA:12763,medial lemniscus,mapped,auto: RCS top-1 score=0.903
Medial orbital area,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12122,medial orbital gyrus,approximate,auto: RCS top-1 score=0.842
Medial superior olive,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12470,medial superior olivary nucleus,mapped,auto: RCS top-1 score=1.000
Median eminence,Rat,Swanson2018_BrainMaps4,gray_matter,HOMBA:13338,median eminence,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Mediodorsal thalamic nucleus,Rat,Leergaard2023_WHS,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.731
"Mediodorsal thalamic nucleus, central part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,approximate,auto: RCS top-1 score=0.644
"Mediodorsal thalamic nucleus, lateral part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:12398,"dentate nucleus, mediodorsal division",approximate,auto: RCS top-1 score=0.776
"Mediodorsal thalamic nucleus, medial part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:12398,"dentate nucleus, mediodorsal division",unmapped,auto: RCS top-1 score=0.521
Middle cerebellar peduncle,Rat,WaxholmSpace_v4,white_matter,HOMBA:12768,middle cerebellar peduncle (brachium pontis),mapped,auto: RCS top-1 score=1.000
Molecular cell layer of the cerebellum,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30427,molecular layer of cerebellar cortex,approximate,auto: RCS top-1 score=0.719
Nucleus accumbens (core),Rat,Leergaard2023_WHS,gray_matter,HOMBA:10340,core of nucleus accumbens,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Nucleus accumbens (shell),Rat,Leergaard2023_WHS,gray_matter,HOMBA:10341,shell of nucleus accumbens,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
"Nucleus accumbens, core",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10340,core of nucleus accumbens,mapped,auto: RCS top-1 score=1.000
"Nucleus accumbens, shell",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10341,shell of nucleus accumbens,mapped,auto: RCS top-1 score=0.999
Nucleus of the lateral olfactory tract,Rat,WaxholmSpace_v4,white_matter,HOMBA:10309,nucleus of lateral olfactory tract,mapped,auto: RCS top-1 score=1.000
Nucleus of the stria medullaris,Rat,WaxholmSpace_v4,white_matter,HOMBA:10590,stria medullaris of thalamus,approximate,auto: RCS top-1 score=0.645
Nucleus of the trapezoid body,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12458,nucleus of trapezoid body,mapped,auto: RCS top-1 score=0.951
Nucleus sagulum,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12313,sagulum nucleus (nucleus sagulum),mapped,auto: RCS top-1 score=1.000
"Olfactory bulb, unspecified",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10307,olfactory bulb,approximate,auto: RCS top-1 score=0.759
Optic nerve,Rat,WaxholmSpace_v4,white_matter,HOMBA:15544,optic nerve,mapped,auto: RCS top-1 score=1.000
Optic tract and optic chiasm,Rat,WaxholmSpace_v4,white_matter,HOMBA:10644,optic chiasm,approximate,auto: RCS top-1 score=0.727
Orbital cortex (ventral),Rat,Swanson2018_BrainMaps4,gray_matter,HOMBA:12187,anterior (ventral /principal) pretectal nucleus,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.629
Orbital cortex (ventrolateral),Rat,Swanson2018_BrainMaps4,gray_matter,HOMBA:13324,ventrolateral temporal cortex,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.716
Paracentral thalamic nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,approximate,auto: RCS top-1 score=0.690
Parafascicular thalamic nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,approximate,auto: RCS top-1 score=0.683
Parasubiculum,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10316,parasubiculum (parasubicular cortex),mapped,auto: RCS top-1 score=1.000
Parataenial thalamic nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,approximate,auto: RCS top-1 score=0.695
Paraventricular hypothalamic nucleus (medial parvicellular dorsal zone),Rat,Swanson2018_BrainMaps4,gray_matter,HOMBA:10489,dorsal division of VMHco,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.640
Paraventricular thalamic nuclei (anterior and posterior),Rat,WaxholmSpace_v4,ventricle,HOMBA:10392,anterior nuclear complex of thalamus,approximate,auto: RCS top-1 score=0.717
"Parietal association cortex, lateral area",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10225,inferior lateral parietal cortex,approximate,auto: RCS top-1 score=0.717
"Parietal association cortex, medial area",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10215,superior medial parietal cortex,approximate,auto: RCS top-1 score=0.716
"Parietal association cortex, posterior area",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10214,posterior parietal cortex,approximate,auto: RCS top-1 score=0.787
Periaqueductal gray,Rat,Swanson2018_BrainMaps4 | WaxholmSpace_v4,gray_matter,HOMBA:AA30359,periaqueductal gray region,mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.940
Peripeduncular nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12285,peripeduncular nucleus,mapped,auto: RCS top-1 score=1.000
Perirhinal area 35,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10320,perirhinal cortex (area 35),approximate,auto: RCS top-1 score=0.643
Perirhinal area 36,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30025,perirhinal cortical region,approximate,auto: RCS top-1 score=0.623
Periventricular gray,Rat,WaxholmSpace_v4,ventricle,HOMBA:AA30845,periventricular gray of pons,approximate,auto: RCS top-1 score=0.857
Pineal gland,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10460,pineal body,mapped,auto: RCS top-1 score=1.000
"Piriform cortex, layer 1",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10311,piriform cortex,approximate,auto: RCS top-1 score=0.705
"Piriform cortex, layer 2",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10311,piriform cortex,approximate,auto: RCS top-1 score=0.705
"Piriform cortex, layer 3",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10311,piriform cortex,approximate,auto: RCS top-1 score=0.705
Pontine nuclei,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12406,pontine nucleus,mapped,auto: RCS top-1 score=1.000
Posterior commissure,Rat,WaxholmSpace_v4,white_matter,HOMBA:10567,posterior commissure,mapped,auto: RCS top-1 score=1.000
Posterior intralaminar nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10448,caudal intralaminar nuclei of thalamus,mapped,auto: RCS top-1 score=0.935
Posterior thalamic nuclear group (triangular part),Rat,Leergaard2023_WHS,gray_matter,HOMBA:12053,posterior thalamic radiation,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.632
"Posterior thalamic nuclear group, triangular part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:12053,posterior thalamic radiation,approximate,auto: RCS top-1 score=0.655
Posterior thalamic nucleus,Rat,Leergaard2023_WHS | WaxholmSpace_v4,gray_matter,HOMBA:10503,posterior hypothalamic nucleus,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.857
Postrhinal cortex,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10263,posterior parahippocampal region (postrhinal cortex),mapped,auto: RCS top-1 score=1.000
Pregeniculate nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:13042,pregeniculate nucleus (ventral lateral geniculate nucleus),mapped,auto: RCS top-1 score=1.000
Prelimbic area,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10280,"pregenual cingulate  cortex (area 32, prelimbic cortex)",unmapped,auto: RCS top-1 score=0.542
Presubiculum,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10315,presubiculum (presubicular cortex),mapped,auto: RCS top-1 score=1.000
Pretectal region,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12181,pretectal region,mapped,auto: RCS top-1 score=1.000
Pretectothalamic lamina,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30571,lamina III and IV of cervical spinal cord,unmapped,auto: RCS top-1 score=0.245
Primary auditory area,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10236,"primary auditory cortex (first auditory cortex, auditory core region)",approximate,auto: RCS top-1 score=0.647
Primary motor area,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10163,"primary motor cortex (first motor cortex, area 4, area FA)",mapped,auto: RCS top-1 score=1.000
"Primary somatosensory area, barrel field",Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30880,barrel field of S1fm (rodents),unmapped,auto: RCS top-1 score=0.314
"Primary somatosensory area, dysgranular zone",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10209,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",unmapped,auto: RCS top-1 score=0.505
"Primary somatosensory area, face representation",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10209,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",unmapped,auto: RCS top-1 score=0.270
"Primary somatosensory area, forelimb representation",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10209,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",unmapped,auto: RCS top-1 score=0.270
"Primary somatosensory area, hindlimb representation",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10209,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",unmapped,auto: RCS top-1 score=0.270
"Primary somatosensory area, trunk representation",Rat,WaxholmSpace_v4,gray_matter,HOMBA:10209,"primary somatosensory cortex (first somatosensory cortex, areas 3,1,2)",unmapped,auto: RCS top-1 score=0.270
Primary visual area,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10269,"primary visual cortex (first visual cortex, striate cortex, area 17, area OC)",approximate,auto: RCS top-1 score=0.627
Pyramidal decussation,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12772,pyramidal decussation,mapped,auto: RCS top-1 score=1.000
Reticular (pre)thalamic nucleus,Rat,Leergaard2023_WHS,gray_matter,HOMBA:10464,reticular nucleus of thalamus,approximate,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=0.655
"Reticular (pre)thalamic nucleus, auditory segment",Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30314,ethmoid thalamic nucleus,unmapped,auto: RCS top-1 score=0.447
"Reticular (pre)thalamic nucleus, unspecified",Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30314,ethmoid thalamic nucleus,unmapped,auto: RCS top-1 score=0.476
Retroreuniens thalamic nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,approximate,auto: RCS top-1 score=0.694
Retrosplenial dysgranular area,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30028,dysgranular division of area prostriata,unmapped,auto: RCS top-1 score=0.490
Retrosplenial granular area,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10325,"granular retrosplenial cortex (area 29, RSg)",approximate,auto: RCS top-1 score=0.816
Reuniens thalamic nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,approximate,auto: RCS top-1 score=0.720
Rhomboid thalamic nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30276,ventral midline nuclei of thalamus,approximate,auto: RCS top-1 score=0.779
"Secondary auditory area, dorsal part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30823,"dorsal secondary visual cortex (dorsal area 18, dorsal area OB, area 18a)",approximate,auto: RCS top-1 score=0.642
"Secondary auditory area, ventral part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30827,"ventral secondary visual cortex (ventral area 18, ventral area OB, area 18b)",approximate,auto: RCS top-1 score=0.651
Secondary motor area,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10168,"premotor cortex (area 6, area FB, secondary motor cortex)",approximate,auto: RCS top-1 score=0.641
Secondary somatosensory area,Rat,WaxholmSpace_v4,gray_matter,HOMBA:13010,subcentral cortex (area 43; secondary somatosensory cortex),approximate,auto: RCS top-1 score=0.670
"Secondary visual area, lateral part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30825,"dorsal fourth visual area (dorsolateral visual cortex, DL)",unmapped,auto: RCS top-1 score=0.558
"Secondary visual area, medial part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30823,"dorsal secondary visual cortex (dorsal area 18, dorsal area OB, area 18a)",unmapped,auto: RCS top-1 score=0.488
Septal region,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10350,septal region (septal nuclear complex),mapped,auto: RCS top-1 score=1.000
Spinal cord,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30565,spinal cord,mapped,auto: RCS top-1 score=1.000
Spinal trigeminal nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12572,spinal trigeminal nucleus,mapped,auto: RCS top-1 score=1.000
Spinal trigeminal tract,Rat,WaxholmSpace_v4,white_matter,HOMBA:12792,spinal trigeminal tract,mapped,auto: RCS top-1 score=1.000
Spiral ganglion,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10332,basal ganglia (basal nuclei),unmapped,auto: RCS top-1 score=0.326
Stria medullaris thalami,Rat,WaxholmSpace_v4,white_matter,HOMBA:10590,stria medullaris of thalamus,approximate,auto: RCS top-1 score=0.725
Stria terminalis,Rat,WaxholmSpace_v4,white_matter,HOMBA:10591,stria terminalis,mapped,auto: RCS top-1 score=1.000
Striatum,Rat,Swanson2018_BrainMaps4,gray_matter,HOMBA:10333,striatum (neostriatum),mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Subgeniculate nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30324,subgeniculate nucleus,mapped,auto: RCS top-1 score=1.000
Subiculum,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10302,subiculum proper (strictly defined subiculum),mapped,auto: RCS top-1 score=1.000
Submedius thalamic nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:AA30278,submedius thalamic nucleus,mapped,auto: RCS top-1 score=1.000
Subparafascicular nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:13054,subparafascicular nucleus of thalamus,approximate,auto: RCS top-1 score=0.857
Substantia nigra (compact part),Rat,Leergaard2023_WHS,gray_matter,HOMBA:12252,"substantia nigra, compact division",mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Substantia nigra (lateral part),Rat,Leergaard2023_WHS,gray_matter,HOMBA:12257,"substantia nigra, lateral division",mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
Substantia nigra (reticular part),Rat,Leergaard2023_WHS,gray_matter,HOMBA:12259,"substantia nigra, reticular division",mapped,migrated from rcs_corpus_source.csv | auto: RCS top-1 score=1.000
"Substantia nigra, compact part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:12252,"substantia nigra, compact division",mapped,auto: RCS top-1 score=1.000
"Substantia nigra, lateral part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:12257,"substantia nigra, lateral division",mapped,auto: RCS top-1 score=1.000
"Substantia nigra, reticular part",Rat,WaxholmSpace_v4,gray_matter,HOMBA:12259,"substantia nigra, reticular division",mapped,auto: RCS top-1 score=1.000
Subthalamic nucleus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:10466,subthalamic nucleus,mapped,auto: RCS top-1 score=1.000
Superficial gray layer of the superior colliculus,Rat,WaxholmSpace_v4,gray_matter,HOMBA:12295,superficial gray layer of superior colliculus,mapped,auto: RCS top-1 score=1.000
