structure_name,fullname,species,paper,n_mentions,n_papers,region_class,decision_stage,final_certainty,final_confidence
frontal cortex lateral to RFA,frontal cortex lateral to RFA,Rat,PM38265300,1,1,neocortex,flash,high,0.9667
frontal cortex layer III,frontal cortex layer III,Human,PM32537628,1,1,neocortex,flash,high,0.9667
frontal cortex medial to RFA,frontal cortex medial to RFA,Rat,PM38265300,1,1,neocortex,flash,high,0.9667
"frontal cortex, temporal cortex, striatum and thalamus","frontal cortex, temporal cortex, striatum and thalamus",,PM37857091,1,1,other,seed_remap,high,1.0
frontal cortical areas,frontal cortical areas,,PM41893879,1,1,neocortex,flash,high,0.9833
frontal cortical PTFezf2 neurons,pyramidal tract neurons,Mouse,PM41352354,1,1,neocortex,flash,high,0.9833
"frontal cortices (Fpole, IFG, PreCG)",,,PM41387490,1,1,neocortex,flash,high,0.9833
frontal eye field region,,,PM34999565,1,1,neocortex,flash,high,0.9833
frontal lobes,frontal lobes,,PM36542188,1,1,neocortex,flash,high,0.9
frontal medial cortex,frontal medial cortex,,PM34432348,1,1,neocortex,flash,high,0.9833
frontal medial gyrus,frontal medial gyrus,Human,PM41698490,1,1,neocortex,flash,high,0.95
frontal motor areas,frontal motor areas,Macaque,PM33376156,1,1,neocortex,flash,high,0.95
frontal motor cortex,left frontal motor cortex of the forelimb motor area,Mouse,PM38767487,1,1,neocortex,flash,high,0.95
frontal opercular areas,,,PM41405705,1,1,neocortex,flash,high,0.95
frontal operculum,frontal operculum,Macaque,PM33376156,1,1,neocortex,flash,high,0.95
frontal parietal cortex,frontal parietal cortex,,PM41211046,1,1,neocortex,flash,high,0.95
frontal regions,frontal regions,Mouse,PM32531275,1,1,neocortex,flash,medium,0.75
frontal/parietal regions,frontal/parietal regions,Human,PM40784215,1,1,neocortex,flash,medium,0.75
fronto-parietal regions,,Human,PM34023624,1,1,neocortex,flash,medium,0.75
frontoparietal control network,frontoparietal control network,Human,PM36124666,1,1,other,flash,medium,0.9167
frontoparietal network,,,PM39106176,1,1,other,flash,medium,0.9167
frontopontine-corticothalamic tracts,frontopontine-corticothalamic tracts,Human,PM39209255,1,1,other,seed_remap,high,1.0
fusiform,fusiform cortex,,PM40800805,1,1,neocortex,flash,high,0.95
G layer,granular layer,Marmoset,PM41994140,1,1,ambiguous,flash,medium,0.4
G36,large posterior OG,,PM32949023,1,1,ambiguous,flash,medium,0.3667
GABA interneurons,GABAergic interneurons,Rodent,PM41494035,1,1,other,seed_remap,high,1.0
GABA POA-LH,GABAergic neurons in the preoptic area projecting to the lateral hypothalamus,Mouse,PM41587334,1,1,non_neocortex,seed_remap,high,1.0
GABA POA-VTA,GABAergic neurons in the preoptic area projecting to the ventral tegmental area,Mouse,PM41587334,1,1,non_neocortex,seed_remap,high,1.0
GABA-VTA,GABAergic neurons in the ventral tegmental area,Mouse,PM41587334,1,1,non_neocortex,seed_remap,high,1.0
GABAergic (VGAT+) interneurons,GABAergic (VGAT+) interneurons,rodent (unspecified),PM42049514,1,1,other,seed_remap,high,1.0
GABAergic fibers,GABAergic fibers,Rat,PM37855033,1,1,other,seed_remap,high,1.0
GABAergic IC neurons,GABAergic inferior colliculus neurons,,PM37308295,1,1,non_neocortex,seed_remap,high,1.0
GABAergic interneuronal presynaptic axons,,,PM37461440,1,1,other,seed_remap,high,1.0
GABAergic neurons in Int,,,PM34542410,1,1,ambiguous,flash,medium,0.3
GABAergic neurons in the NTS,GABAergic neurons in the nucleus tractus solitarius,Mouse,PM41407675,1,1,non_neocortex,seed_remap,high,1.0
GABAergic RGCs,GABAergic retinal ganglion cells,Mouse,PM39285154,1,1,other,seed_remap,high,1.0
GABAergic RVM,GABAergic rostral ventromedial medulla neurons,,PM38142769,1,1,non_neocortex,seed_remap,high,1.0
GABAergic VTA neurons,GABAergic ventral tegmental area neurons,Mouse,PM41791880,1,1,non_neocortex,seed_remap,high,1.0
GAD2 neurons,,Mouse,PM41726933,1,1,other,seed_remap,high,1.0
Gad2Cre LHb neurons,lateral habenula neurons expressing Gad2Cre,Mouse,PM32332079,1,1,non_neocortex,seed_remap,high,1.0
GAD65+ inhibitory neurons,glutamate decarboxylase 65 (GAD65)+ inhibitory neurons,Macaque,PM40145981,1,1,other,seed_remap,high,1.0
GAD65+ spinal neurons,GAD65-expressing spinal neurons,Mouse,PM34497004,1,1,non_neocortex,seed_remap,high,1.0
gall bladder,gall bladder,Mouse,PM42258898,1,1,other,seed_remap,high,1.0
gamma-motoneuron,gamma-motoneuron,Macaque,PM39116178,1,1,non_neocortex,seed_remap,high,1.0
ganglion cell,retinal ganglion cell,Mouse,PM34083252,1,1,other,seed_remap,high,1.0
gastric corpus,gastric corpus,Mouse,PM33116243,1,1,other,seed_remap,high,1.0
GBCs,globular bushy cells,Mouse,PM37288824,1,1,non_neocortex,seed_remap,high,1.0
gcc,genu of the corpus callosum,Mouse,PM35354345,1,1,other,seed_remap,high,1.0
GckaPVT,GckaPVT neurons,Mouse,PM35303367,1,1,non_neocortex,seed_remap,high,1.0
gemini,gemini nuclei,,PM35486186,1,1,non_neocortex,seed_remap,high,1.0
gemini nucleus,gemini nucleus,,PM35486186,1,1,non_neocortex,seed_remap,high,1.0
GENd,geniculate group of the dorsal thalamus,,PM40346961,1,1,non_neocortex,seed_remap,high,1.0
genetically labeled primary afferents,genetically labeled primary afferents,,PM40202848,1,1,other,seed_remap,high,1.0
geniculate,lateral geniculate nucleus,Mouse,PM35513375,1,1,non_neocortex,seed_remap,high,1.0
geniculate ganglion,geniculate ganglion,Mouse,PM42466736,1,1,other,seed_remap,high,1.0
genioglossus muscle,,Mouse,PM32673075,1,1,other,seed_remap,high,1.0
genu,genu of corpus callosum,,PM41893879,1,1,other,seed_remap,high,1.0
GI tract,gastrointestinal tract,,PM39345605,1,1,other,seed_remap,high,1.0
GI tract vagal afferents,gastrointestinal tract vagal afferent terminals,Rat,PM32946754,1,1,other,seed_remap,high,1.0
gigantocellular nuclei,gigantocellular nuclei,Rat,PM40592902,1,1,non_neocortex,seed_remap,high,1.0
gigantocellular reticular nuclei,gigantocellular reticular nuclei,Mouse,PM36214727,1,1,non_neocortex,seed_remap,high,1.0
gigantocellular reticular nucleus ventral part,gigantocellular reticular nucleus ventral part,,PM36271640,1,1,non_neocortex,seed_remap,high,1.0
glioma sites,,,PM39630872,1,1,other,seed_remap,high,1.0
glioma sites (motor cortex OGX),motor cortex,,PM39630872,1,1,neocortex,flash,high,0.95
globular bushy axons,,Rat,PM33439501,1,1,other,seed_remap,high,1.0
globus pallidus (dystonia hotspot),globus pallidus,Rat,PM38651310,1,1,non_neocortex,seed_remap,high,1.0
globus pallidus (Parkinson's hotspot),globus pallidus,Rat,PM38651310,1,1,non_neocortex,seed_remap,high,1.0
globus pallidus internus-ventral oral anterior,globus pallidus internus-ventral oral anterior,Human,PM39209255,1,1,non_neocortex,seed_remap,high,1.0
globus pallidus internus-ventral oral posterior,globus pallidus internus-ventral oral posterior,Human,PM39209255,1,1,non_neocortex,seed_remap,high,1.0
GLP1+ NTS neurons,GLP1-positive neurons in the nucleus tractus solitarius,Mouse,PM39627618,1,1,non_neocortex,seed_remap,high,1.0
Glp1r-expressing LS Crhr2,Glp1r-expressing lateral septum Crhr2-expressing neurons,,PM40585201,1,1,non_neocortex,seed_remap,high,1.0
GLU neurons (IC),"glutamatergic neurons, inferior colliculus",,PM40455405,1,1,non_neocortex,seed_remap,high,1.0
GLU PN,glutamatergic pyramidal neuron,Mouse,PM39012795,1,1,other,seed_remap,high,1.0
GluSLD,glutamatergic neurons in the sublaterodorsal tegmental nucleus,Mouse,PM33372061,1,1,non_neocortex,seed_remap,high,1.0
glutamatergic fibers,glutamatergic fibers,Rat,PM37855033,1,1,other,seed_remap,high,1.0
glutamatergic IC neurons,glutamatergic inferior colliculus neurons,,PM37308295,1,1,non_neocortex,seed_remap,high,1.0
glutamatergic neurons in Int,,,PM34542410,1,1,ambiguous,flash,medium,0.3
glutamatergic RVM,glutamatergic rostral ventromedial medulla neurons,,PM38142769,1,1,non_neocortex,seed_remap,high,1.0
glutamatergic sympathoexcitatory neurons,,Rat,PM41017599,1,1,other,seed_remap,high,1.0
glutamatergic VTA neurons,glutamatergic ventral tegmental area neurons,Mouse,PM41791880,1,1,non_neocortex,seed_remap,high,1.0
GLv-li,lamina interna of the GLv,,PM40911558,1,1,non_neocortex,seed_remap,high,1.0
GlyT2 neurons,glycinergic neurons expressing GlyT2,Mouse,PM41718621,1,1,other,seed_remap,high,1.0
GlyT2-LSO,GlyT2-expressing lateral superior olive neurons,Mouse,PM37436768,1,1,non_neocortex,seed_remap,high,1.0
GM originating IaINs,gastrocnemius-soleus originating Ia inhibitory interneurons,,PM41494035,1,1,non_neocortex,seed_remap,high,1.0
GPe-TI,GPe-TI (prototypical GPe neurons),,PM35140075,1,1,non_neocortex,seed_remap,high,1.0
GPe.3,globus pallidus external segment domain 3,,PM34616074,1,1,non_neocortex,seed_remap,high,1.0
GPe/GPi,globus pallidus external/internal,,PM39630872,1,1,non_neocortex,seed_remap,high,1.0
GPiDLS,globus pallidus interna dorsolateral striatum,,PM36943842,1,1,non_neocortex,seed_remap,high,1.0
GPiDMS,globus pallidus interna dorsomedial striatum,,PM36943842,1,1,non_neocortex,seed_remap,high,1.0
gracile core (Gr core),gracile nucleus core,,PM40202848,1,1,non_neocortex,seed_remap,high,1.0
gracilis nucleus,gracilis nucleus,Human,PM39129322,1,1,non_neocortex,seed_remap,high,1.0
graft-derived axons,human induced pluripotent stem cell-derived cortical organoid graft axons,Mouse,PM42199138,1,1,other,seed_remap,high,1.0
grafted neurons projecting to caudal spinal cord,grafted neurons projecting to spinal cord caudal to lesion,Rat,PM32376949,1,1,other,seed_remap,high,1.0
granular cortices,granular cortices,Macaque,PM42362380,1,1,neocortex,flash,high,0.8333
granular layer,granular layer,Mouse,PM32990595,1,1,ambiguous,flash,medium,0.4
granular layers,cortical granular layer,,PM33711828,1,1,neocortex,flash,high,0.9167
granule cell domain,granule cell domain,,PM34393720,1,1,ambiguous,flash,medium,0.5333
GrCA,granule cell area,,PM37164181,1,1,non_neocortex,flash,medium,0.6333
Group I afferents,Group I afferents,Macaque,PM41855268,1,1,other,seed_remap,high,1.0
Group-Ia afferent fibers,Group-Ia afferent fibers,,PM33469022,1,1,other,seed_remap,high,1.0
GRP+ DH neurons,GRP+ dorsal horn neurons,Mouse,PM34986325,1,1,non_neocortex,seed_remap,high,1.0
GRP/GRPR interneurons,gastrin-releasing peptide/GRP receptor interneurons,Mouse,PM40222011,1,1,other,seed_remap,high,1.0
GRPR+ neurons,GRP receptor-expressing neurons,,PM37522391,1,1,other,seed_remap,high,1.0
GS motor neurons,gastrocnemius motor neurons,Mouse,PM36512397,1,1,other,seed_remap,high,1.0
Gudden's ventral tegmental nucleus,Gudden's ventral tegmental nucleus,Rat,PM33476683,1,1,non_neocortex,seed_remap,high,1.0
gustative areas,,Human,PM35347401,1,1,neocortex,flash,high,0.9167
gut,gut,Mouse,PM40907464,1,1,other,seed_remap,high,1.0
gut-innervating vagal afferents,,Mouse,PM40348137,1,1,other,seed_remap,high,1.0
gyrus rectus,,,PM34999565,1,1,neocortex,flash,high,0.9333
hCO subplate DL/ExN,,,PM39018245,1,1,neocortex,flash,medium,0.7
Hcrt,orexinergic neurons,Mouse,PM40441984,1,1,non_neocortex,seed_remap,high,1.0
Hcrt neurons,hypocretin-expressing neurons,Mouse,PM32553161,1,1,non_neocortex,seed_remap,high,1.0
HDB-MA,horizontal diagonal band and magnocellular nucleus,Mouse,PM35194025,1,1,non_neocortex,seed_remap,high,1.0
head/periphery,head periphery,Mouse,PM37937368,1,1,other,seed_remap,high,1.0
hepatocytes,hepatocytes,Mouse,PM38260695,1,1,other,seed_remap,high,1.0
HI/IHA,,,PM38600121,1,1,ambiguous,flash,medium,0.5
high-level cognitive cortical regions,high-level cognitive cortical regions,Human,PM33246029,1,1,neocortex,flash,medium,0.8333
higher cortical areas,higher cortical areas,Mouse,PM40057769,1,1,neocortex,flash,medium,0.8333
higher motor cortices,higher motor cortices,Mouse,PM34905771,1,1,neocortex,flash,medium,0.9
higher-order sensorimotor cortices,higher-order sensorimotor cortices,Human,PM32932052,1,1,neocortex,flash,medium,0.9
higher-order thalamus,,,PM37851709,1,1,non_neocortex,seed_remap,high,1.0
hilar cells,,Mouse,PM34928938,1,1,non_neocortex,seed_remap,high,1.0
hilus,hilus,,PM36626901,1,1,non_neocortex,seed_remap,high,1.0
hind paw,hind paw,Mouse,PM40128392,1,1,other,seed_remap,high,1.0
hind paw skin,hind paw skin (glabrous skin),Mouse,PM36322717,1,1,other,seed_remap,high,1.0
hindbrain medulla,,,PM38370676,1,1,non_neocortex,seed_remap,high,1.0
hindlimb cortical region,hindlimb cortical region,Mouse,PM38887838,1,1,neocortex,flash,high,0.9833
hindlimb corticospinal neurons,hindlimb corticospinal neurons,Mouse,PM41154154,1,1,other,seed_remap,high,1.0
hindlimb sensorimotor cortex,hindlimb sensorimotor cortex,Mouse,PM38887838,1,1,neocortex,flash,high,0.9833
Hindlimb somatosensory afferents,Hindlimb somatosensory inputs,Cat,PM33534649,1,1,other,seed_remap,high,1.0
hindpaw primary afferents,hindpaw primary afferents,,PM40202848,1,1,other,seed_remap,high,1.0
hippocampal,hippocampus,,PM41633810,1,1,non_neocortex,seed_remap,high,1.0
hippocampal CA1,hippocampal CA1,Human,PM34079259,1,1,non_neocortex,seed_remap,high,1.0
hippocampal CA2 region,hippocampal CA2 region,,PM32528401,1,1,non_neocortex,seed_remap,high,1.0
hippocampal commissure,hippocampal commissure,,PM42133082,1,1,other,seed_remap,high,1.0
hippocampal dentate gyrus,hippocampal dentate gyrus,Mouse,PM37029761,1,1,non_neocortex,seed_remap,high,1.0
hippocampal neurons,hippocampus,Mouse,PM40757734,1,1,non_neocortex,seed_remap,high,1.0
hippocampal pyramidal neurons,hippocampal pyramidal neurons,,PM37813563,1,1,non_neocortex,seed_remap,high,1.0
hippocampal region,hippocampal region,Sheep,PM37196786,1,1,non_neocortex,seed_remap,high,1.0
hippocampi,hippocampi,Human,PM36477709,1,1,non_neocortex,seed_remap,high,1.0
hippocampus CA3 region,,Mouse,PM41292979,1,1,non_neocortex,seed_remap,high,1.0
HLA,hindlimb area of motor cortex,Rat,PM33059344,1,1,neocortex,flash,high,0.9833
HLDB,horizontal limb of the diagonal band,,PM42133082,1,1,non_neocortex,seed_remap,high,1.0
HO,higher-order thalamic nuclei,Mouse,PM40967312,1,1,non_neocortex,seed_remap,high,1.0
horizontal axons,,Macaque,PM39870740,1,1,other,seed_remap,high,1.0
horizontal limb of the diagonal band,Nucleus of the horizontal limb of the diagonal band,,PM37775310,1,1,non_neocortex,seed_remap,high,1.0
host brain neurons,host mouse neurons,Mouse,PM39707492,1,1,other,seed_remap,high,1.0
host neurons (perinuclear synaptic regions),host brain neurons,Mouse,PM42199138,1,1,other,seed_remap,high,1.0
host occipital cortex,host occipital cortex,Rat,PM37282449,1,1,neocortex,flash,high,0.9833
host visual cortex,host visual cortex,Rat,PM37282449,1,1,neocortex,flash,high,0.9833
HPA axis,hypothalamic-pituitary-adrenal axis,Rat,PM33132167,1,1,other,seed_remap,high,1.0
HPF,hippocampal formation,,PM36774552,1,1,non_neocortex,seed_remap,high,1.0
HpL,left hippocampal body,Mouse,PM41023182,1,1,non_neocortex,seed_remap,high,1.0
HpR,right hippocampal body,Mouse,PM41023182,1,1,non_neocortex,seed_remap,high,1.0
HS neurons in hippocampus,hippocampal somatostatin-expressing (HS) neurons,Mouse,PM33933476,1,1,non_neocortex,seed_remap,high,1.0
hStrS,human striatal spheroid,Human,PM33273741,1,1,non_neocortex,seed_remap,high,1.0
HSV-EGFP-labeled neurons (from stomach/duodenum injection),Vagal sensory neurons from stomach and duodenum,Mouse,PM41407675,1,1,other,seed_remap,high,1.0
HT,hypothalamus,,PM36063145,1,1,non_neocortex,seed_remap,high,1.0
human primary cortical neurons,human primary cortical neurons,Human,PM34764308,1,1,other,flash,medium,0.6667
human primary neurons,human primary neurons,Human,PM34764308,1,1,other,flash,high,0.9833
hV6A,medial posterior parietal area hV6A,Human,PM40472912,1,1,neocortex,flash,high,0.9767
HVC,HVC,,PM40549422,1,1,other,seed_remap,high,1.0
hyperpallium apicale,hyperpallium apicale,,PM38625816,1,1,other,seed_remap,high,1.0
Hypo,hypothalamus,Mouse,PM33338423,1,1,non_neocortex,seed_remap,high,1.0
hypoglossal nerve,hypoglossal nerve,Rat,PM32233044,1,1,other,seed_remap,high,1.0
hypothalamic,hypothalamus,,PM41633810,1,1,non_neocortex,seed_remap,high,1.0
hypothalamic A13,hypothalamic A13 nuclei,Rat,PM35973599,1,1,non_neocortex,seed_remap,high,1.0
hypothalamic anterior tuberal nucleus,,,PM38289191,1,1,non_neocortex,seed_remap,high,1.0
hypothalamic arcuate nucleus,hypothalamic arcuate nucleus,Mouse,PM37078546,1,1,non_neocortex,seed_remap,high,1.0
hypothalamic orexin neurons,hypothalamic orexin neurons,Mouse,PM36998723,1,1,non_neocortex,seed_remap,high,1.0
hypothalamus PVN,paraventricular nucleus of the hypothalamus,,PM42203107,1,1,non_neocortex,seed_remap,high,1.0
I,,,PM32973466,1,1,ambiguous,flash,medium,0.3
i/vHP,intermediate/ventral hippocampus,Mouse,PM34844990,1,1,non_neocortex,seed_remap,high,1.0
Ia afferent,Ia afferent,Macaque,PM39116178,1,1,other,seed_remap,high,1.0
Ia and II afferents,Ia and II afferents,Rodent,PM41494035,1,1,other,seed_remap,high,1.0
Ia proprioceptive afferents,Ia proprioceptive afferents,Mouse,PM36695533,1,1,other,seed_remap,high,1.0
Ia/Ib afferents,,Mouse,PM39656589,1,1,other,seed_remap,high,1.0
IAD,interanterodorsal thalamic nucleus,,PM39614717,1,1,non_neocortex,seed_remap,high,1.0
iAUDp,ipsilateral auditory cortex posterolateral,Mouse,PM35396593,1,1,neocortex,flash,high,0.9767
IB4+ central afferents,IB4-positive central afferents,Mouse,PM36322717,1,1,other,seed_remap,high,1.0
IB4+ sensory neurons,IB4-positive sensory neurons,Mouse,PM36322717,1,1,other,seed_remap,high,1.0
IC SST-positive neurons,somatostatin-expressing neurons in the inferior colliculus,,PM41796787,1,1,non_neocortex,seed_remap,high,1.0
ICE,external cortex (inferior colliculus external),Mouse,PM36427816,1,1,non_neocortex,seed_remap,high,1.0
ICL,inferior clamp,,PM32949023,1,1,other,seed_remap,high,1.0
iCNN,inhibitory cerebellar nuclei neurons,Mouse,PM41959326,1,1,non_neocortex,seed_remap,high,1.0
iCR,inhibitory calretinin neurons,Mouse,PM37464016,1,1,other,seed_remap,high,1.0
iCR axonal boutons,inhibitory calretinin cells,Mouse,PM37333120,1,1,other,seed_remap,high,1.0
iCR dendrites,inhibitory calretinin cells,Mouse,PM37333120,1,1,other,seed_remap,high,1.0
iCRs labelled in RorbCreERT2;Ai9 mouse,inhibitory calretinin cells,Mouse,PM37333120,1,1,other,seed_remap,high,1.0
ICx,insular cortex,Mouse,PM35857536,1,1,neocortex,flash,medium,0.6667
IF,interfasicular nucleus,Mouse,PM39067532,1,1,non_neocortex,seed_remap,high,1.0
IGIB (higher area),infragranular layers 5/6,,PM40788966,1,1,neocortex,flash,medium,0.75
IGIB (next area),infragranular layers 5/6,,PM40788966,1,1,neocortex,flash,high,0.8167
IHT,intermediate horizontal tract,,PM35055868,1,1,other,seed_remap,high,1.0
IHy,incertohypothalamic area,Mouse,PM42455384,1,1,non_neocortex,seed_remap,high,1.0
II afferent fibres,,,PM41494035,1,1,other,seed_remap,high,1.0
IL L5,infralimbic cortex layer 5,Mouse,PM36476757,1,1,neocortex,flash,high,0.9667
IL L5 PT,infralimbic cortex layer 5 pyramidal tract neurons,Mouse,PM36476757,1,1,neocortex,flash,high,0.9667
IL-CP,infralimbic cortico-PAG neurons,Mouse,PM32600466,1,1,neocortex,flash,high,0.95
IL/PrL,infralimbic and prelimbic cortex,Mouse,PM41392094,1,1,neocortex,flash,high,0.9667
iLCST,ipsilateral lateral corticospinal tract,,PM34624846,1,1,other,seed_remap,high,1.0
ILGlu,infralimbic glutamatergic neurons,Mouse,PM41764545,1,1,neocortex,flash,high,0.9667
ill-defined ventral cluster,"ventral bidirectional cluster ventral to mammillothalamic tract, possibly perireuniens nucleus or ventral medial thalamic nucleus",Rat,PM40093037,1,1,non_neocortex,seed_remap,high,1.0
ILN,intralaminar thalamic nuclei,,PM32649865,1,1,non_neocortex,seed_remap,high,1.0
iLS,intermediate lateral septum,Mouse,PM38883723,1,1,non_neocortex,seed_remap,high,1.0
iM2,ipsilateral M2,Mouse,PM40068685,1,1,neocortex,flash,high,0.99
IMD,intermediodorsal thalamic nucleus,,PM40343331,1,1,non_neocortex,seed_remap,high,1.0
IMF,intrinsic muscles of the foot,Mouse,PM38238800,1,1,other,seed_remap,high,1.0
IML of DG,inner molecular layer of dentate gyrus,Mouse,PM38688719,1,1,non_neocortex,seed_remap,high,1.0
IML of septal DG,inner molecular layer of septal dentate gyrus,Mouse,PM38688719,1,1,non_neocortex,seed_remap,high,1.0
INC,Interstitial Nucleus of Cajal,,PM37660322,1,1,non_neocortex,seed_remap,high,1.0
indirect pathway,indirect pathway,Mouse,PM42003734,1,1,other,seed_remap,high,1.0
indirect pathway MSNs,indirect pathway medium spiny neurons (striatum),Mouse,PM33248017,1,1,non_neocortex,seed_remap,high,1.0
inferior and ventral temporal areas,,,PM39919832,1,1,neocortex,flash,high,0.9233
inferior brainstem,,,PM40131525,1,1,non_neocortex,seed_remap,high,1.0
inferior cerebellar peduncle,inferior cerebellar peduncle,,PM41289407,1,1,other,seed_remap,high,1.0
inferior frontal cortex,,,PM36542188,1,1,neocortex,flash,high,0.99
inferior olivary neurons,inferior olivary neurons,Mouse,PM38097036,1,1,non_neocortex,seed_remap,high,1.0
inferior parietal,inferior parietal cortex,Macaque,PM33376156,1,1,neocortex,flash,high,0.99
inferior parietal gyrus,,,PM36542188,1,1,neocortex,flash,high,0.99
inferior temporal cortex,,,PM41350413,1,1,neocortex,flash,high,0.99
inferior temporal lobe,inferior temporal lobe,,PM40608009,1,1,neocortex,flash,high,0.8667
infralimbic area,infralimbic area,,PM32621762,1,1,neocortex,flash,high,0.95
infralimbic cortex (IL),infralimbic cortex,Mouse,PM40757734,1,1,neocortex,flash,high,0.95
iNG-derived neurons,intrinsic neurogenesis-derived neurons,,PM40777408,1,1,other,seed_remap,high,1.0
Inh L2-5 PVALB SCUBE3,,Human,PM42393360,1,1,other,seed_remap,high,1.0
inhibitory interneurons,inhibitory interneurons,Mouse,PM36484786,1,1,other,seed_remap,high,1.0
inhibitory neurons [Trh+ Arc neurons],inhibitory Trh-expressing arcuate hypothalamus neurons,Mouse,PM37961449,1,1,non_neocortex,seed_remap,high,1.0
inhibitory neurons in cuneate region,inhibitory neurons,Mouse,PM34648327,1,1,non_neocortex,seed_remap,high,1.0
injection site and patch regions,,Macaque,PM39870740,1,1,other,seed_remap,high,1.0
inner lamina II,inner lamina II of dorsal horn,Mouse,PM36322717,1,1,non_neocortex,seed_remap,high,1.0
inner saccule,inner saccule,Mouse,PM36280667,1,1,other,seed_remap,high,1.0
input,,,PM38286886,1,1,other,seed_remap,high,1.0
Ins cortex,,,PM42101519,1,1,neocortex,pro,medium,0.7833
INs expressing parvalbumin,interneurons expressing parvalbumin,,PM41528845,1,1,other,seed_remap,high,1.0
INs expressing somatostatin,interneurons expressing somatostatin,,PM41528845,1,1,other,seed_remap,high,1.0
INs expressing vasoactive intestinal peptide,interneurons expressing vasoactive intestinal peptide,,PM41528845,1,1,other,seed_remap,high,1.0
insula cortex,,,PM32541059,1,1,neocortex,pro,medium,0.7833
insular,,,PM36395541,1,1,neocortex,pro,medium,0.7667
insular and supramarginal regions of the SVAN and superior frontal area of the Default Mode Network,insular and supramarginal regions of the Salience/Ventral Attention Network and superior frontal area of the Default Mode Network,Human,PM40288703,1,1,other,flash,high,0.85
insular and visceral areas,,Mouse,PM40470211,1,1,other,flash,medium,0.7333
insular-limbic-frontal-cingulum cluster,insular-limbic-frontal-cingulum cluster,Human,PM42117428,1,1,other,seed_remap,high,1.0
int cajal,interstitial nucleus of Cajal,,PM33907215,1,1,non_neocortex,seed_remap,high,1.0
intercalated PL,intercalated prelimbic area,,PM42101519,1,1,neocortex,flash,high,0.95
intergeniculate leaf,,,PM33236346,1,1,non_neocortex,seed_remap,high,1.0
interhemispheric somatosensory areas,,Mouse,PM36693103,1,1,neocortex,flash,high,0.95
intermediate acoustic stria,intermediate acoustic stria,Gerbil,PM36279465,1,1,other,seed_remap,high,1.0
intermediate and ventral horn,intermediate and ventral horn,Rat,PM39748509,1,1,non_neocortex,seed_remap,high,1.0
intermediate and ventral zones of lumbar cord gray matter,intermediate and ventral zones of lumbar cord gray matter,,PM35292976,1,1,non_neocortex,seed_remap,high,1.0
intermediate cerebellar nuclei,deep cerebellar nuclei (intermediate),Mouse,PM36247730,1,1,non_neocortex,seed_remap,high,1.0
intermediate gray matter of the spinal cord,intermediate gray matter of the spinal cord,Human,PM41239130,1,1,non_neocortex,seed_remap,high,1.0
intermediate Mo7,,,PM40663610,1,1,non_neocortex,seed_remap,high,1.0
intermediate nucleus of the lateral lemniscus,intermediate nucleus of the lateral lemniscus,Rat,PM38797037,1,1,non_neocortex,seed_remap,high,1.0
intermediate OLMα2 cells,intermediate OLM alpha 2 cells,,PM40757734,1,1,non_neocortex,seed_remap,high,1.0
intermediate part,intermediate part of the posterior lobe,Rat,PM40673947,1,1,non_neocortex,seed_remap,high,1.0
intermediate part of the hemisphere,,Rat,PM40673947,1,1,ambiguous,flash,medium,0.4
intermediate part of the PVN,intermediate part of the paraventricular nucleus,,PM37121600,1,1,non_neocortex,seed_remap,high,1.0
intermediate reticular formation,intermediate reticular formation,Mouse,PM37211631,1,1,non_neocortex,seed_remap,high,1.0
intermediate zone,intermediate zone,Rat,PM35850438,1,1,non_neocortex,seed_remap,high,1.0
intermediate zone (lamina VII),intermediate zone (lamina VII),,PM34624846,1,1,non_neocortex,seed_remap,high,1.0
intermediolateral column,intermediolateral column,Rat,PM32328002,1,1,non_neocortex,seed_remap,high,1.0
intermediolateral nucleus,intermediolateral nucleus,,PM35366148,1,1,non_neocortex,seed_remap,high,1.0
internal ventral LGN,,,PM33236346,1,1,non_neocortex,seed_remap,high,1.0
interneurons (locomotor CPG),interneurons of the locomotor Central Pattern Generator,Cat,PM32946952,1,1,non_neocortex,seed_remap,high,1.0
Interpeduncular nucleus,interpeduncular nucleus,,PM39340562,1,1,non_neocortex,seed_remap,high,1.0
interposed nucleus of the cerebellar nuclei,interposed nucleus of the cerebellar nuclei,Mouse,PM39467650,1,1,non_neocortex,seed_remap,high,1.0
interstitial nucleus of Cajal,interstitial nucleus of Cajal,Rat,PM33254517,1,1,non_neocortex,seed_remap,high,1.0
interstitial nucleus of Ramón y Cajal,interstitial nucleus of Cajal,Mouse,PM41415035,1,1,non_neocortex,seed_remap,high,1.0
interstitial nucleus of the fasciculus longitudinalis medialis,,,PM36455518,1,1,non_neocortex,seed_remap,high,1.0
interstitial nucleus of the posterior limb of the anterior commissure,interstitial nucleus of the posterior limb of the anterior commissure,,PM37353897,1,1,non_neocortex,seed_remap,high,1.0
intertrigeminal region,intertrigeminal nucleus,,PM34611777,1,1,non_neocortex,seed_remap,high,1.0
intestinal sympathetic nerve,intestinal sympathetic nerve,,PM36413525,1,1,other,seed_remap,high,1.0
intestine wall,,Rabbit,PM30998432,1,1,other,seed_remap,high,1.0
intralaminar nucleus,,,PM32919055,1,1,non_neocortex,seed_remap,high,1.0
intralaminar region,intralaminar region,,PM34665323,1,1,non_neocortex,seed_remap,high,1.0
