record_id,structure_name,fullname,species,paper,n_mentions,n_papers,region_class,decision_stage,final_certainty,final_confidence,final_reason,seed_old_label,flash_a_label,flash_b_label,flash_c_label,flash_agreement,flash_vote_split,pro_a_label,pro_b_label,pro_c_label,pro_agreement,pro_vote_split,flash_a_reason,flash_b_reason,flash_c_reason,pro_a_reason,pro_b_reason,pro_c_reason
3578,bilateral middle temporal poles,bilateral middle temporal poles,Human,PM34815270,1,1,neocortex,flash,high,0.9333,Middle temporal pole is a neocortical region of the temporal lobe. | Middle temporal pole likely refers to neocortical temporal gyrus pole. | Middle temporal pole is neocortical (temporal lobe neocortex).,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Middle temporal pole is a neocortical region of the temporal lobe.,Middle temporal pole likely refers to neocortical temporal gyrus pole.,Middle temporal pole is neocortical (temporal lobe neocortex).,,,
3579,bilateral MPFC,bilateral medial prefrontal cortex,,PM42127800,1,1,neocortex,flash,high,0.9833,"MPFC is medial prefrontal cortex, a neocortical area. | MPFC is medial prefrontal cortex, a neocortical region. | MPFC is medial prefrontal cortex, a neocortical region.",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,"MPFC is medial prefrontal cortex, a neocortical area.","MPFC is medial prefrontal cortex, a neocortical region.","MPFC is medial prefrontal cortex, a neocortical region.",,,
3580,bilateral occipital cortex,bilateral occipital cortex,Human,PM37244076,1,1,neocortex,flash,high,0.9833,Occipital cortex is neocortex. | Occipital cortex is neocortex (visual areas). | Occipital cortex is neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Occipital cortex is neocortex.,Occipital cortex is neocortex (visual areas).,Occipital cortex is neocortex.,,,
3581,bilateral occipital regions,bilateral occipital regions,Human,PM37244076,1,1,neocortex,flash,high,0.9667,Occipital regions are neocortical. | Occipital regions refer to neocortical visual areas. | Occipital regions refer to neocortical areas.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Occipital regions are neocortical.,Occipital regions refer to neocortical visual areas.,Occipital regions refer to neocortical areas.,,,
3582,bilateral optic nerves,bilateral optic nerves,,PM38433660,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
3583,bilateral primary motor cortex,primary motor cortex,,PM33652469,1,1,neocortex,flash,high,0.9833,Primary motor cortex is neocortex. | Primary motor cortex is neocortex (M1). | Primary motor cortex is neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Primary motor cortex is neocortex.,Primary motor cortex is neocortex (M1).,Primary motor cortex is neocortex.,,,
3584,bilateral putamen,bilateral putamen,Macaque,PM39174504,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3585,bilateral SC,sensory cortex,Human,PM41167411,1,1,neocortex,flash,high,0.95,"Fullname 'sensory cortex' indicates neocortex. | Fullname 'sensory cortex' confirms neocortex; SC alone ambiguous. | SC expanded to sensory cortex, which is neocortex.",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Fullname 'sensory cortex' indicates neocortex.,Fullname 'sensory cortex' confirms neocortex; SC alone ambiguous.,"SC expanded to sensory cortex, which is neocortex.",,,
3586,bilateral STG,bilateral superior temporal gyrus,Human,PM36335806,1,1,neocortex,flash,high,0.9833,"Superior temporal gyrus is neocortex. | Superior temporal gyrus is neocortex (temporal lobe). | STG is superior temporal gyrus, a neocortical structure.",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Superior temporal gyrus is neocortex.,Superior temporal gyrus is neocortex (temporal lobe).,"STG is superior temporal gyrus, a neocortical structure.",,,
3587,bilateral temporal cortices,bilateral temporal cortices,Human,PM34126289,1,1,neocortex,flash,high,0.95,Temporal cortices typically refer to neocortical areas of temporal lobe | Bilateral temporal cortices are part of neocortex in human. | Temporal cortex is part of the neocortex.,cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Temporal cortices typically refer to neocortical areas of temporal lobe,Bilateral temporal cortices are part of neocortex in human.,Temporal cortex is part of the neocortex.,,,
3588,bilateral Thal,bilateral thalamus,Human,PM34609038,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3589,bilateral thalamus,thalamus,Human,PM32736326,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3590,bilateral ventral lateral nuclei of thalamus,ventral lateral nuclei of the bilateral thalami,,PM41146200,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3591,bile tract,bile tract,,PM39345605,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
3592,BLA IN,basolateral amygdala interneurons,Mouse,PM40971296,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3593,BLA Nos1+,basolateral amygdala neuronal nitric oxide synthase-positive neurons,,PM37080493,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3594,BLA Nos1-,basolateral amygdala neuronal nitric oxide synthase-negative neurons,,PM37080493,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3595,BLA PC,basolateral amygdala pyramidal cells,Mouse,PM40971296,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3596,BLA PN,basolateral amygdala pyramidal neurons,Mouse,PM32376858,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3597,BLA Ppp1r1b,Basolateral amygdala Ppp1r1b,Mouse,PM37963179,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3598,BLA Rspo2,Basolateral amygdala Rspo2,Mouse,PM37963179,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3599,BLA-mPFC neurons,basolateral amygdala neurons projecting to medial prefrontal cortex,Mouse,PM38376907,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3600,BLA.ac,anterior central basolateral amygdala,Mouse,PM34001873,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3601,BLA.al,anterior lateral basolateral amygdala,Mouse,PM34001873,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3602,BLA.am,anterior medial basolateral amygdala,Mouse,PM34001873,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3603,bladder body,bladder body,,PM34772694,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
3604,BLAp,basolateral amygdala posterior,Mouse,PM39012916,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3605,BLmc,,,PM40352758,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3606,BLv,ventral subdivision of the basolateral nucleus,,PM33960421,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3607,BMAp,posterior basomedial amygdala,Mouse,PM34001873,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3608,BMmc,,,PM40352758,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3609,BNST AVP,bed nucleus of the stria terminalis arginine vasopressin-expressing,Mouse,PM37523807,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3610,BNST glutamatergic,bed nucleus of the stria terminalis glutamatergic neurons,Mouse,PM41076216,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3611,BNST-Crh,BNST neurons expressing Crh,,PM35860212,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3612,BNST-Nts,BNST neurons expressing Nts,,PM35860212,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3613,BNST-PM,posterior dorso-medial bed nucleus of the stria terminalis,Rat,PM35724771,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3614,BNSTp,principal region of bed nucleus of the stria terminalis,Mouse,PM37819977,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3615,body/periphery,body periphery,Mouse,PM37937368,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
3616,"bone (femur-tibia joint, metaphysis/periosteum)",,Mouse,PM38963696,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
3617,both subregions,both subregions,,PM42133082,1,1,other,flash,medium,0.5333,Vague term not indicating a specific brain region | Vague term 'both subregions' without further context; cannot assign region. | Vague phrase 'both subregions' does not specify a brain region.,ambiguous,other,ambiguous,other,2/3,2-1,,,,,,Vague term not indicating a specific brain region,Vague term 'both subregions' without further context; cannot assign region.,Vague phrase 'both subregions' does not specify a brain region.,,,
3618,brachialis,brachialis,,PM38195605,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
3619,brain and spinal cord targets,,Rodent,PM34616071,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
3620,brain cortex,brain cortex,Rat,PM39392023,1,1,other,flash,medium,0.65,Vague term 'brain cortex' does not specify neocortex vs allocortex | 'Brain cortex' is a generic umbrella term too vague to assign to neocortex or allocortex. | Cortex is too vague; could include allocortex. Not specific to neocortex.,cortical,other,other,other,3/3,3-0,,,,,,Vague term 'brain cortex' does not specify neocortex vs allocortex,'Brain cortex' is a generic umbrella term too vague to assign to neocortex or allocortex.,Cortex is too vague; could include allocortex. Not specific to neocortex.,,,
3621,brain photosensory neurons,brain photosensory neurons,,PM38433660,1,1,other,flash,medium,0.7,"Describes a cell type rather than an anatomical region | Brain photosensory neurons likely refer to non-neocortical structures such as hypothalamus. | Refers to a cell type (photosensory neurons), not a brain region.",ambiguous,other,non_neocortex,other,2/3,2-1,,,,,,Describes a cell type rather than an anatomical region,Brain photosensory neurons likely refer to non-neocortical structures such as hypothalamus.,"Refers to a cell type (photosensory neurons), not a brain region.",,,
3622,brain regions involved in learning and navigation,,,PM42259917,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
3623,brain-wide afferents,,Mouse,PM38887205,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
3624,brain-wide regions,,Mouse,PM35732245,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
3625,brainstem and cervical cord,brainstem and cervical cord,Mouse,PM34686320,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3626,brainstem auditory structures,brainstem auditory structures,Human,PM35392412,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3627,brainstem mesencephalic locomotor region,brainstem mesencephalic locomotor region,Mouse,PM37816600,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3628,brainstem motor nuclei 7N and 5N,,Mouse,PM35320722,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3629,brainstem regions,,Mouse,PM33823137,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3630,brainstem second-order premotor neurons,,Mouse,PM37303816,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3631,brainstem sensorimotor nuclei,,,PM33823137,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3632,"brainstem, cervical cord, and thoracolumbar targets","brainstem, cervical cord, and thoracolumbar targets",Mouse,PM34686320,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3633,"brainstem, reticular formation, raphe nuclei, somatomotor cortex",,Rat,PM33376249,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
3634,BS cholinergic nuclei,brainstem cholinergic nuclei,Rat,PM36583474,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3635,BSTov,"bed nucleus of the stria terminalis, oval nucleus",Mouse,PM37594894,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3636,BSTr,,Rat,PM40352758,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3637,BU,,,PM33174208,1,1,ambiguous,flash,medium,0.3333,Acronym 'BU' is ambiguous without expansion | Acronym 'BU' with no fullname or context; could be multiple regions. | Acronym 'BU' is ambiguous without expansion.,ambiguous,ambiguous,ambiguous,ambiguous,3/3,3-0,,,,,,Acronym 'BU' is ambiguous without expansion,Acronym 'BU' with no fullname or context; could be multiple regions.,Acronym 'BU' is ambiguous without expansion.,,,
3638,BX,"primary somatosensory cortex, barrel cortex",Mouse,PM35138891,1,1,neocortex,flash,high,0.9933,"Fullname identifies it as primary somatosensory cortex (neocortex) | Fullname clarifies BX as primary somatosensory cortex (barrel cortex), a neocortical area. | Fullname specifies primary somatosensory cortex (barrel cortex), a neocortical area.",cortical,neocortex,neocortex,neocortex,3/3,3-0,,,,,,Fullname identifies it as primary somatosensory cortex (neocortex),"Fullname clarifies BX as primary somatosensory cortex (barrel cortex), a neocortical area.","Fullname specifies primary somatosensory cortex (barrel cortex), a neocortical area.",,,
3639,Bötzinger,,,PM32656849,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3640,C fibers,C fibers,Mouse,PM33854367,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
3641,C-fiber primary afferents,,Rat,PM40893019,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
3642,C-fibres,,Mouse,PM41726933,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
3643,C-low-threshold mechanoreceptors,,Mouse,PM42454582,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
3644,c-MafIN neurons,c-Maf neurons expressing inferior nucleus marker,Mouse,PM36947543,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3645,C-type vagal afferent fibers,C-type vagal afferent fibers,,PM38105761,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
3646,C1-C4 spinal cord,cervical spinal cord (C1-C4 region),Rat,PM36440366,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3647,C1-C5 spinal cord,upper cervical spinal cord,Rat,PM35917818,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3648,C1/A1,,Mouse,PM40593679,1,1,ambiguous,flash,medium,0.4333,C1/A1 unclear: could be spinal cord or neocortical areas | C1 unclear; could be cortical area or other; A1 is neocortex but combined ambiguous. | Acronyms likely neocortical (A1 primary auditory area); C1 unclear but likely cortical.,ambiguous,ambiguous,ambiguous,neocortex,2/3,2-1,,,,,,C1/A1 unclear: could be spinal cord or neocortical areas,C1 unclear; could be cortical area or other; A1 is neocortex but combined ambiguous.,Acronyms likely neocortical (A1 primary auditory area); C1 unclear but likely cortical.,,,
3649,C2/A2,,Mouse,PM40593679,1,1,ambiguous,flash,medium,0.4333,C2/A2 unclear: could be spinal cord or neocortical areas | C2 unclear; A2 neocortex but combined unknown. | Acronyms likely neocortical (A2 secondary auditory area); C2 unclear but likely cortical.,ambiguous,ambiguous,ambiguous,neocortex,2/3,2-1,,,,,,C2/A2 unclear: could be spinal cord or neocortical areas,C2 unclear; A2 neocortex but combined unknown.,Acronyms likely neocortical (A2 secondary auditory area); C2 unclear but likely cortical.,,,
3650,C4 dorsal column white matter,C4 dorsal column white matter,Mouse,PM41154154,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
3651,C4 gray matter,C4 gray matter,Mouse,PM41154154,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3652,C4 spinal cord,C4 spinal cord,Mouse,PM41154154,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3653,C4 spinal cord segment,cervical 4 spinal cord segment,Rat,PM38598336,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3654,C4 ventral horn,C4 ventral horn,Human,PM41381586,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3655,C5,,Macaque,PM41701640,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3656,C5-T1,,Macaque,PM41474103,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3657,C6,cervical spinal cord segment 6,Mouse,PM33851917,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3658,C6-T1 MNs,C6-T1 motor neurons,Rat,PM39654633,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3659,C7-T1 spinal cord,C7-T1 spinal cord segments,Rat,PM35917818,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3660,C8 spinal cord segment,cervical 8 spinal cord segment,Rat,PM38598336,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3661,CA1 excitatory neurons,CA1 excitatory neurons,Mouse,PM35843448,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3662,CA1 hippocampus,CA1 subregion of the hippocampus,Mouse,PM39672518,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3663,CA1 interneurons (stratum oriens),CA1 interneurons with cell bodies located in stratum oriens,Mouse,PM33350452,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3664,CA1 OPCs,CA1 oligodendrocyte precursor cells,,PM37813563,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3665,CA1 PN,CA1 pyramidal neurons,Mouse,PM37986757,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3666,CA1 PYR,CA1 pyramidal cells,Mouse,PM39989976,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3667,CA1 pyramidal cells,CA1 pyramidal cells,Mouse,PM33350452,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3668,CA1 SR/SLM interneurons,CA1 stratum radiatum/stratum lacunosum-moleculare interneurons,Mouse,PM39446584,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3669,CA1 stratum oriens neurons,CA1 stratum oriens,Mouse,PM40757734,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3670,CA1-3,CA1-3,Mouse,PM37061022,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3671,CA1_lmol,CA1 lacunosum-moleculare layer,,PM38503494,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3672,CA1_or,CA1 oriens layer,,PM38503494,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3673,CA1_rad,CA1 radiatum layer,,PM38503494,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3674,CA1v,ventral CA1,Mouse,PM34001873,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3675,CA2 PN,CA2 pyramidal neurons,Mouse,PM37986757,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3676,CA2_or,CA2 oriens layer,,PM38503494,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3677,CA2_py,CA2 pyramidal layer,,PM38503494,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3678,CA3 interneurons,CA3 interneurons (feedforward inhibition),mouse (rodent),PM34949685,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3679,CA3 parvalbumin-expressing interneurons,CA3 parvalbumin-expressing interneurons,Mouse,PM37117012,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3680,CA3 PN,CA3 pyramidal neurons,Mouse,PM37986757,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3681,CA3 PyNs,CA3 pyramidal neurons,,PM33536132,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3682,CA3 pyramidal neurons,CA3 pyramidal neurons,,PM37813563,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3683,CA3/CA2,,,PM32656783,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3684,CA3_or,CA3 oriens layer,,PM38503494,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3685,CA3_py,CA3 pyramidal layer,,PM38503494,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3686,CA3a,CA3a,Mouse,PM37312626,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3687,CA3a/b,CA3a/b,,PM40840443,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3688,CA3b/c,CA3b/c,Mouse,PM37312626,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3689,CA3c,CA3c region,Mouse,PM33600026,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3690,CA3d,CA3 dorsal,,PM32433957,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3691,CA3v,CA3 ventral,,PM32433957,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3692,cACCPV,cACC parvalbumin-expressing interneurons,Mouse,PM40795854,1,1,neocortex,flash,medium,0.7667,"cACC likely caudal anterior cingulate cortex, considered neocortex in many classifications | cACC is caudal anterior cingulate cortex, considered neocortex. | cACC indicates cingulate cortex, a mesocortical area classified as non_neocortex.",cortical,neocortex,neocortex,non_neocortex,2/3,2-1,,,,,,"cACC likely caudal anterior cingulate cortex, considered neocortex in many classifications","cACC is caudal anterior cingulate cortex, considered neocortex.","cACC indicates cingulate cortex, a mesocortical area classified as non_neocortex.",,,
3693,caecum,caecum,Mouse,PM40076675,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
3694,Calb1+ vagal neurons,Calb1+ vagal neurons,,PM34755535,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
3695,calbindin (CB)+ sensory-associated interneurons,calbindin (CB)+ sensory-associated interneurons,Macaque,PM40145981,1,1,other,flash,high,0.9333,"Cell type description, not a brain region | Cell type (calbindin interneurons), not a brain region. | Describes interneuron cell type, not a specific brain region.",ambiguous,other,other,other,3/3,3-0,,,,,,"Cell type description, not a brain region","Cell type (calbindin interneurons), not a brain region.","Describes interneuron cell type, not a specific brain region.",,,
3696,Calcrl+ spinal neurons,calcitonin receptor-like receptor (Calcrl)-expressing spinal neurons,Mouse,PM37023756,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3697,CalcrlCdx2 dorsal horn neurons,calcitonin receptor-like receptor (Calcrl)-expressing dorsal horn neurons,Mouse,PM37023756,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3698,callosal targets at layer 4/5 boundary and layer 1,callosal projection targets at layer 4-5 boundary and layer 1,Mouse,PM39333158,1,1,other,flash,medium,0.9167,"Description of projection targets, not a brain region | Describes projection targets, not a standard region name. | Callosal targets in cortical layers imply neocortex.",cortical,other,other,neocortex,2/3,2-1,,,,,,"Description of projection targets, not a brain region","Describes projection targets, not a standard region name.",Callosal targets in cortical layers imply neocortex.,,,
3699,calretinin (CR)+ sensory-associated interneurons,calretinin (CR)+ sensory-associated interneurons,Macaque,PM40145981,1,1,other,flash,high,0.9333,"Cell type description, not a brain region | Cell type (calretinin interneurons), not a brain region. | Describes interneuron cell type, not a specific brain region.",ambiguous,other,other,other,3/3,3-0,,,,,,"Cell type description, not a brain region","Cell type (calretinin interneurons), not a brain region.","Describes interneuron cell type, not a specific brain region.",,,
3700,calretinin interneurons (CA1 SR/SLM border),calretinin-expressing interneurons at the stratum radiatum/stratum lacunosum-moleculare border of CA1,Mouse,PM34712120,1,1,non_neocortex,seed_remap,high,1.0,seed: subcortical → non_neocortex,subcortical,,,,,,,,,,,,,,,,
3701,calvarial periosteum afferents,calvarial periosteum trigeminal afferents,Rat,PM38931882,1,1,other,seed_remap,high,1.0,seed: other kept,other,,,,,,,,,,,,,,,,
